method;traces;pollution;param;p
cri_tvla_1;500;gauss;72;7.90592199032896e-12
cri_tvla_2;500;gauss;72;4.507646805357019e-06
dlla9;500;gauss;72;2.962874814330928e-11
dlla2;500;gauss;72;1.2780074030160904e-06
cri_tvla_1;500;gauss;80;3.5227482137402587e-10
cri_tvla_2;500;gauss;80;2.198916095809891e-08
dlla9;500;gauss;80;1.5171004015896513e-09
dlla2;500;gauss;80;9.650597348809242e-06
cri_tvla_1;500;gauss;88;2.905900036091439e-08
cri_tvla_2;500;gauss;88;3.3805668229121224e-06
dlla9;500;gauss;88;3.525733148758079e-11
dlla2;500;gauss;88;5.653710104525089e-05
cri_tvla_1;500;gauss;96;3.897358235023051e-08
cri_tvla_2;500;gauss;96;7.653432054474408e-06
dlla9;500;gauss;96;3.3720114863371984e-09
dlla2;500;gauss;96;5.653710104525089e-05
cri_tvla_1;500;gauss;104;9.182794475502815e-08
cri_tvla_2;500;gauss;104;5.451089081737859e-05
dlla9;500;gauss;104;1.4213519762439187e-11
dlla2;500;gauss;104;0.0035001833457499743
cri_tvla_1;500;gauss;112;1.4237632468093547e-07
cri_tvla_2;500;gauss;112;5.4882621503442805e-06
dlla9;500;gauss;112;2.7988640242246203e-12
dlla2;500;gauss;112;0.010030803503468633
cri_tvla_1;500;gauss;120;6.346546081805845e-08
cri_tvla_2;500;gauss;120;4.676724112914264e-05
dlla9;500;gauss;120;2.0737442933960525e-08
dlla2;500;gauss;120;9.650597348809242e-06
cri_tvla_1;500;gauss;128;9.302340364031209e-08
cri_tvla_2;500;gauss;128;4.281038256825459e-05
dlla9;500;gauss;128;1.0496120963513516e-12
dlla2;500;gauss;128;9.650597348809242e-06
cri_tvla_1;500;gauss;136;4.982516346090916e-06
cri_tvla_2;500;gauss;136;1.3561644165217067e-05
dlla9;500;gauss;136;5.018241795432067e-08
dlla2;500;gauss;136;0.0002675263676792383
cri_tvla_1;500;gauss;144;3.4093860577850204e-06
cri_tvla_2;500;gauss;144;3.985787961806606e-05
dlla9;500;gauss;144;3.7178624481748226e-11
dlla2;500;gauss;144;5.653710104525089e-05
cri_tvla_1;500;gauss;152;1.1506374764582013e-08
cri_tvla_2;500;gauss;152;4.0170854737111455e-05
dlla9;500;gauss;152;7.806742399739953e-11
dlla2;500;gauss;152;0.0002675263676792383
cri_tvla_1;500;gauss;160;3.012856394428897e-06
cri_tvla_2;500;gauss;160;2.1505012460215305e-05
dlla9;500;gauss;160;6.6603360954963186e-09
dlla2;500;gauss;160;0.010030803503468633
cri_tvla_1;500;gauss;168;1.395586425767005e-07
cri_tvla_2;500;gauss;168;2.010284851725147e-07
dlla9;500;gauss;168;3.969190329503357e-09
dlla2;500;gauss;168;0.055092082591727376
cri_tvla_1;500;gauss;176;2.082891923909977e-06
cri_tvla_2;500;gauss;176;1.5244932775929184e-05
dlla9;500;gauss;176;0.00043406061542767383
dlla2;500;gauss;176;0.055092082591727376
cri_tvla_1;500;gauss;184;2.104958962611285e-06
cri_tvla_2;500;gauss;184;8.594801876423435e-05
dlla9;500;gauss;184;3.1633616939645016e-10
dlla2;500;gauss;184;0.18854279373772442
cri_tvla_1;500;gauss;192;2.6852389534290897e-05
cri_tvla_2;500;gauss;192;0.00015837835728758963
dlla9;500;gauss;192;3.161215655823649e-09
dlla2;500;gauss;192;0.10766357486136258
cri_tvla_1;500;gauss;200;2.6083987039304505e-05
cri_tvla_2;500;gauss;200;0.0003229193135350394
dlla9;500;gauss;200;7.113274366957071e-11
dlla2;500;gauss;200;0.5699749670457095
cri_tvla_1;500;gauss;208;0.00014788827627170106
cri_tvla_2;500;gauss;208;2.43760398529515e-05
dlla9;500;gauss;208;0.004367881577588265
dlla2;500;gauss;208;0.010030803503468633
cri_tvla_1;500;gauss;216;0.00021295326693878089
cri_tvla_2;500;gauss;216;5.2892165768524515e-06
dlla9;500;gauss;216;1.1880727150432731e-06
dlla2;500;gauss;216;0.055092082591727376
cri_tvla_1;500;gauss;224;1.7215221659953684e-05
cri_tvla_2;500;gauss;224;7.622738369746454e-05
dlla9;500;gauss;224;1.414684930564803e-07
dlla2;500;gauss;224;0.29830744792707264
cri_tvla_1;500;gauss;232;7.580719623860768e-06
cri_tvla_2;500;gauss;232;0.00019466502210513614
dlla9;500;gauss;232;4.2175096864948214e-05
dlla2;500;gauss;232;0.4300250329542905
cri_tvla_1;500;gauss;240;0.0001922908333955359
cri_tvla_2;500;gauss;240;8.922519769822974e-05
dlla9;500;gauss;240;0.00024483761182503023
dlla2;500;gauss;240;0.7016925520729274
cri_tvla_1;500;gauss;248;0.00018447187802679904
cri_tvla_2;500;gauss;248;4.968254665611586e-05
dlla9;500;gauss;248;2.9564233053727067e-06
dlla2;500;gauss;248;0.18854279373772442
cri_tvla_1;500;gauss;256;6.414176527778872e-05
cri_tvla_2;500;gauss;256;0.00017847241977461475
dlla9;500;gauss;256;0.01877738678116832
dlla2;500;gauss;256;0.18854279373772442
cri_tvla_1;500;gauss;264;4.1981102124490705e-05
cri_tvla_2;500;gauss;264;5.216416473532916e-05
dlla9;500;gauss;264;2.1191284155090094e-07
dlla2;500;gauss;264;0.10766357486136258
cri_tvla_1;500;gauss;272;5.749636619292104e-05
cri_tvla_2;500;gauss;272;8.754999080463056e-05
