method;traces;pollution;param;p
dlla9;300000;gauss;23;0.9873706195568313
dlla2;300000;gauss;23;0.5
cri_tvla_1;300000;gauss;24;0.00144306250644017
cri_tvla_2;300000;gauss;24;0.0007317455790080784
dlla9;300000;gauss;24;0.27919057755586685
dlla2;300000;gauss;24;0.35528378973484054
cri_tvla_1;300000;gauss;25;0.0007431340599271827
cri_tvla_2;300000;gauss;25;0.003714205214988251
dlla9;300000;gauss;25;0.6164933237358292
dlla2;300000;gauss;25;0.27139678174953896
cri_tvla_1;300000;gauss;26;0.0015585937751558991
cri_tvla_2;300000;gauss;26;0.0020794500343711214
dlla9;300000;gauss;26;0.7447651228390196
dlla2;300000;gauss;26;0.9671617960046174
cri_tvla_1;300000;gauss;27;0.001811017540889901
cri_tvla_2;300000;gauss;27;0.0013103217899925136
dlla9;300000;gauss;27;0.6685194470098186
dlla2;300000;gauss;27;0.13763289377945626
cri_tvla_1;300000;gauss;28;0.0003535100554756417
cri_tvla_2;300000;gauss;28;0.00031512046617889123
