method;p
tvla_rho;0.040829981593838216
dlla_open;0.8231652734731656
dlla_wegener;0.1975540342952461
tvla_t_1;0.01902246050032524
tvla_t_2;0.017565972698032516
tvla_t_3;0.19939270339441376
tvla_rho;0.01177674241539961
dlla_open;0.3144018045092935
dlla_wegener;0.28198558426998943
tvla_t_1;0.020290920037964462
tvla_t_2;0.023577774260337657
tvla_t_3;0.19488464660635868
tvla_rho;0.02362882322142945
dlla_open;0.38074845982667715
dlla_wegener;0.8755680625310389
tvla_t_1;0.021682144354194643
tvla_t_2;0.02338440923901782
tvla_t_3;0.18996510382157603
tvla_rho;0.040871624126287864
dlla_open;0.835378133920758
dlla_wegener;0.4373558598016596
tvla_t_1;0.049882099064193455
tvla_t_2;0.02222935267593914
tvla_t_3;0.1371215758621484
tvla_rho;0.08001767005423255
dlla_open;0.004058821224896583
dlla_wegener;0.3380169314669845
tvla_t_1;0.04860591908958801
tvla_t_2;0.05440573434577711
tvla_t_3;0.13372120842646382
tvla_rho;0.03168775038709559
dlla_open;0.034188312395821305
dlla_wegener;0.7550458771071377
tvla_t_1;0.060167980862924776
tvla_t_2;0.030338345039671335
tvla_t_3;0.20416337261202666
tvla_rho;0.02069664563881468
dlla_open;0.045103893529359014
dlla_wegener;0.9077228699371531
tvla_t_1;0.061096846913477235
tvla_t_2;0.026187477598891486
tvla_t_3;0.19767694197708746
tvla_rho;0.022878604605154118
dlla_open;0.2600954479783755
dlla_wegener;0.7027222887005802
tvla_t_1;0.046657793084970096
tvla_t_2;0.02296395755849126
tvla_t_3;0.20453041316754714
tvla_rho;0.03385096088740491
dlla_open;0.4333817867535352
dlla_wegener;0.7009192736582359
tvla_t_1;0.0174576011952091
tvla_t_2;0.03225822606752976
tvla_t_3;0.2074498324028338
tvla_rho;0.035639549371948354
dlla_open;0.4097056628374973
dlla_wegener;0.3705907529368021
tvla_t_1;0.042539245064370144
tvla_t_2;0.023470994417436306
tvla_t_3;0.14804975004398693
tvla_rho;0.03921557793131836
dlla_open;0.5824199411840896
dlla_wegener;0.47895440267208883
tvla_t_1;0.039200639550292446
tvla_t_2;0.040966814469730335
tvla_t_3;0.11125572062823899
tvla_rho;0.018162397793962004
dlla_open;0.5275846399732487
dlla_wegener;0.2444937271934874
tvla_t_1;0.04096870634696328
tvla_t_2;0.02834463875622591
tvla_t_3;0.04677930205838021
tvla_rho;0.03782939826834397
dlla_open;0.24089356990024285
dlla_wegener;0.14303977528077705
tvla_t_1;0.008225026727449953
tvla_t_2;0.05409340769295729
tvla_t_3;0.2154089874692591
tvla_rho;0.005647728457472523
dlla_open;0.9562426555132508
dlla_wegener;0.8669775691621386
